ParticipantID: P001
Time;PosX;PosZ;Speed;Steer;Throttle;BrakeF;TTC;PredCrashX;PredCrashZ;CrashAngle
16.702;-88.300;-80.042;13.15;0.000;1.000;0.000;5.556;-38.482;-78.630;46.7
16.712;-88.169;-80.038;13.17;0.000;1.000;0.000;5.548;-38.432;-78.629;46.8
16.722;-88.037;-80.035;13.20;0.000;1.000;0.000;5.540;-38.391;-78.628;46.9
16.732;-87.905;-80.031;13.22;0.000;1.000;0.000;5.534;-38.358;-78.627;47.0
16.742;-87.773;-80.027;13.24;0.000;1.000;0.000;5.528;-38.326;-78.626;47.1
16.752;-87.640;-80.023;13.26;0.000;1.000;0.000;5.517;-38.270;-78.624;47.2
16.762;-87.507;-80.020;13.28;0.000;1.000;0.000;5.510;-38.230;-78.623;47.3
16.772;-87.375;-80.016;13.30;0.000;1.000;0.000;5.502;-38.191;-78.622;47.5
16.782;-87.241;-80.012;13.32;0.000;1.000;0.000;5.496;-38.160;-78.621;47.5
16.792;-87.108;-80.008;13.34;0.000;1.000;0.000;5.487;-38.113;-78.620;47.7
16.802;-86.975;-80.005;13.36;0.000;1.000;0.000;5.481;-38.082;-78.619;47.8
16.812;-86.841;-80.001;13.38;0.000;1.000;0.000;5.472;-38.036;-78.618;47.9
16.822;-86.707;-79.997;13.40;0.000;1.000;0.000;5.467;-38.013;-78.617;48.0
16.832;-86.573;-79.993;13.42;0.000;1.000;0.000;5.457;-37.960;-78.616;48.1
16.842;-86.439;-79.989;13.44;0.000;1.000;0.000;5.452;-37.938;-78.615;48.2
16.852;-86.304;-79.986;13.46;0.000;1.000;0.000;5.443;-37.895;-78.614;48.3
16.862;-86.170;-79.982;13.48;0.000;1.000;0.000;5.438;-37.873;-78.613;48.4
16.872;-86.035;-79.978;13.50;0.000;1.000;0.000;5.428;-37.822;-78.612;48.5
16.882;-85.900;-79.974;13.52;0.000;1.000;0.000;5.428;-37.822;-78.612;48.5
16.892;-85.764;-79.970;13.54;0.000;1.000;0.000;5.417;-37.772;-78.610;48.7
