ParticipantID: P001
Time;PosX;PosZ;Speed;Steer;Throttle;BrakeF;TTC;PredCrashX;PredCrashZ;CrashAngle
13.630;-90.253;-79.178;14.17;0.022;0.310;0.000;4.633;-39.648;-82.197;37.7
13.640;-90.112;-79.187;14.17;0.022;0.310;0.000;4.620;-39.652;-82.255;37.7
13.650;-89.971;-79.196;14.16;0.022;0.310;0.000;4.613;-39.655;-82.285;37.7
13.660;-89.829;-79.204;14.16;0.022;0.310;0.000;4.599;-39.661;-82.343;37.7
13.670;-89.688;-79.213;14.15;0.022;0.310;0.000;4.586;-39.673;-82.392;37.7
13.680;-89.547;-79.223;14.15;0.022;0.300;0.000;4.572;-39.681;-82.451;37.7
13.690;-89.406;-79.232;14.15;0.022;0.300;0.000;4.565;-39.684;-82.480;37.7
13.700;-89.265;-79.241;14.14;0.022;0.300;0.000;4.551;-39.694;-82.539;37.7
13.710;-89.124;-79.251;14.13;0.022;0.300;0.000;4.538;-39.710;-82.587;37.6
13.720;-88.983;-79.260;14.13;0.022;0.300;0.000;4.524;-39.720;-82.646;37.6
13.730;-88.842;-79.270;14.12;0.022;0.300;0.000;4.517;-39.725;-82.675;37.6
13.740;-88.701;-79.280;14.12;0.022;0.300;0.000;4.503;-39.740;-82.723;37.6
13.750;-88.560;-79.290;14.11;0.022;0.300;0.000;4.489;-39.752;-82.782;37.6
13.760;-88.420;-79.301;14.10;0.022;0.300;0.000;4.476;-39.769;-82.830;37.6
13.770;-88.279;-79.311;14.10;0.022;0.300;0.000;4.461;-39.780;-82.889;37.6
13.780;-88.138;-79.321;14.09;0.022;0.290;0.000;4.448;-39.798;-82.937;37.6
13.790;-87.998;-79.332;14.09;0.022;0.290;0.000;4.440;-39.806;-82.966;37.6
13.800;-87.857;-79.343;14.08;0.022;0.290;0.000;4.425;-39.824;-83.024;37.5
13.810;-87.717;-79.354;14.08;0.022;0.290;0.000;4.412;-39.841;-83.072;37.5
13.820;-87.577;-79.365;14.07;0.022;0.290;0.000;4.396;-39.859;-83.130;37.5
13.830;-87.436;-79.376;14.07;0.022;0.290;0.000;4.382;-39.883;-83.177;37.5
13.840;-87.296;-79.387;14.07;0.022;0.290;0.000;4.374;-39.892;-83.206;37.5
13.850;-87.156;-79.399;14.06;0.022;0.290;0.000;4.359;-39.911;-83.263;37.5
13.860;-87.016;-79.411;14.05;0.022;0.290;0.000;4.345;-39.933;-83.311;37.4
13.870;-86.876;-79.422;14.05;0.022;0.290;0.000;4.330;-39.960;-83.357;37.4
13.880;-86.736;-79.434;14.04;0.022;0.280;0.000;4.315;-39.978;-83.415;37.4
13.890;-86.596;-79.446;14.04;0.022;0.280;0.000;4.301;-40.002;-83.462;37.4
13.900;-86.457;-79.459;14.03;0.022;0.280;0.000;4.286;-40.029;-83.508;37.4
13.910;-86.317;-79.471;14.02;0.022;0.280;0.000;4.278;-40.038;-83.536;37.3
13.920;-86.177;-79.483;14.01;0.022;0.280;0.000;4.264;-40.067;-83.583;37.3
13.930;-86.038;-79.496;14.01;0.022;0.280;0.000;4.247;-40.091;-83.639;37.3
13.940;-85.898;-79.509;14.01;0.022;0.280;0.000;4.233;-40.120;-83.685;37.3
13.950;-85.759;-79.522;14.00;0.022;0.280;0.000;4.216;-40.149;-83.740;37.2
13.960;-85.619;-79.535;13.99;0.022;0.280;0.000;4.201;-40.179;-83.786;37.2
13.970;-85.480;-79.548;13.99;0.022;0.280;0.000;4.193;-40.190;-83.814;37.2
13.980;-85.341;-79.561;13.98;0.000;0.280;0.000;4.176;-40.219;-83.869;37.2
13.990;-85.202;-79.575;13.97;0.000;0.280;0.000;4.161;-40.249;-83.907;37.2
14.000;-85.063;-79.588;13.97;0.000;0.280;0.000;4.146;-40.281;-83.943;37.2
14.010;-84.924;-79.602;13.96;0.000;0.280;0.000;4.132;-40.312;-83.980;37.2
14.020;-84.785;-79.615;13.96;0.000;0.280;0.000;4.117;-40.343;-84.016;37.2
14.030;-84.646;-79.629;13.95;0.000;0.280;0.000;4.101;-40.373;-84.058;37.2
14.040;-84.507;-79.643;13.95;0.000;0.280;0.000;4.092;-40.389;-84.078;37.2
14.050;-84.368;-79.657;13.94;0.000;0.280;0.000;4.076;-40.428;-84.110;37.2
14.060;-84.230;-79.672;13.94;0.000;0.280;0.000;4.059;-40.462;-84.148;37.3
14.070;-84.091;-79.686;13.93;0.000;0.280;0.000;4.043;-40.497;-84.185;37.3
14.080;-83.953;-79.700;13.93;-0.022;0.280;0.000;4.027;-40.534;-84.213;37.4
14.090;-83.814;-79.715;13.92;-0.022;0.280;0.000;4.013;-40.569;-84.233;37.4
14.100;-83.676;-79.729;13.91;-0.022;0.280;0.000;4.005;-40.583;-84.245;37.4
14.110;-83.537;-79.744;13.91;-0.022;0.280;0.000;3.990;-40.622;-84.263;37.5
14.120;-83.399;-79.758;13.90;-0.022;0.280;0.000;3.975;-40.654;-84.283;37.6
14.130;-83.261;-79.773;13.90;-0.022;0.280;0.000;3.960;-40.690;-84.298;37.7
14.140;-83.123;-79.788;13.89;-0.022;0.280;0.000;3.944;-40.728;-84.313;37.8
14.150;-82.985;-79.802;13.89;-0.022;0.280;0.000;3.935;-40.749;-84.319;37.8
14.160;-82.847;-79.817;13.88;-0.022;0.280;0.000;3.920;-40.792;-84.328;37.9
14.170;-82.709;-79.832;13.88;-0.022;0.280;0.000;3.904;-40.826;-84.338;38.0
14.180;-82.571;-79.847;13.87;-0.044;0.260;0.000;3.889;-40.868;-84.342;38.1
14.190;-82.433;-79.861;13.87;-0.044;0.260;0.000;3.875;-40.908;-84.339;38.2
14.200;-82.295;-79.876;13.86;-0.044;0.260;0.000;3.861;-40.943;-84.334;38.4
14.210;-82.157;-79.891;13.85;-0.044;0.260;0.000;3.853;-40.964;-84.330;38.5
14.220;-82.019;-79.906;13.85;-0.044;0.260;0.000;3.837;-41.006;-84.321;38.6
14.230;-81.882;-79.920;13.84;-0.044;0.260;0.000;3.823;-41.052;-84.309;38.7
14.240;-81.744;-79.935;13.84;-0.044;0.260;0.000;3.807;-41.099;-84.293;38.9
14.250;-81.607;-79.950;13.83;-0.044;0.260;0.000;3.799;-41.120;-84.285;39.0
14.260;-81.469;-79.964;13.82;-0.044;0.260;0.000;3.785;-41.161;-84.265;39.2
14.270;-81.332;-79.979;13.82;-0.044;0.260;0.000;3.770;-41.206;-84.244;39.3
14.280;-81.194;-79.993;13.81;-0.044;0.250;0.000;3.757;-41.243;-84.219;39.5
14.290;-81.057;-80.007;13.80;-0.044;0.250;0.000;3.744;-41.284;-84.194;39.7
14.300;-80.920;-80.022;13.79;-0.044;0.250;0.000;3.730;-41.331;-84.167;39.8
14.310;-80.783;-80.036;13.79;-0.044;0.250;0.000;3.724;-41.348;-84.151;39.9
14.320;-80.646;-80.050;13.78;-0.044;0.250;0.000;3.709;-41.392;-84.116;40.1
14.330;-80.508;-80.064;13.77;-0.044;0.250;0.000;3.695;-41.442;-84.082;40.3
14.340;-80.371;-80.078;13.77;-0.044;0.250;0.000;3.682;-41.480;-84.043;40.4
14.350;-80.235;-80.092;13.76;-0.044;0.250;0.000;3.669;-41.529;-84.006;40.6
14.360;-80.098;-80.105;13.76;-0.044;0.250;0.000;3.662;-41.552;-83.983;40.7
14.370;-79.961;-80.119;13.75;-0.044;0.250;0.000;3.648;-41.597;-83.937;40.9
14.380;-79.824;-80.132;13.74;-0.044;0.250;0.000;3.634;-41.650;-83.895;41.0
14.390;-79.687;-80.146;13.73;-0.067;0.250;0.000;3.622;-41.690;-83.841;41.2
14.400;-79.551;-80.159;13.73;-0.067;0.250;0.000;3.609;-41.740;-83.789;41.4
14.410;-79.414;-80.172;13.72;-0.067;0.250;0.000;3.604;-41.756;-83.758;41.5
14.420;-79.277;-80.184;13.71;-0.067;0.250;0.000;3.591;-41.804;-83.694;41.7
14.430;-79.141;-80.197;13.71;-0.067;0.250;0.000;3.579;-41.851;-83.637;41.9
14.440;-79.004;-80.209;13.70;-0.067;0.250;0.000;3.568;-41.894;-83.579;42.1
14.450;-78.868;-80.221;13.69;-0.067;0.250;0.000;3.554;-41.948;-83.506;42.3
14.460;-78.732;-80.233;13.68;-0.067;0.250;0.000;3.548;-41.971;-83.469;42.5
14.470;-78.595;-80.244;13.67;-0.067;0.250;0.000;3.536;-42.025;-83.404;42.6
14.480;-78.459;-80.256;13.67;-0.067;0.250;0.000;3.524;-42.073;-83.338;42.8
14.490;-78.323;-80.267;13.66;-0.044;0.240;0.000;3.514;-42.112;-83.258;43.1
14.500;-78.187;-80.278;13.65;-0.044;0.240;0.000;3.501;-42.171;-83.194;43.3
14.510;-78.051;-80.289;13.64;-0.044;0.240;0.000;3.490;-42.214;-83.117;43.5
14.520;-77.915;-80.299;13.63;-0.044;0.240;0.000;3.478;-42.265;-83.051;43.7
14.530;-77.779;-80.309;13.63;-0.044;0.240;0.000;3.465;-42.323;-82.984;43.8
14.540;-77.643;-80.319;13.62;-0.044;0.240;0.000;3.461;-42.341;-82.944;43.9
14.550;-77.507;-80.329;13.61;-0.044;0.240;0.000;3.449;-42.394;-82.863;44.1
14.560;-77.371;-80.338;13.61;-0.044;0.240;0.000;3.436;-42.449;-82.795;44.2
14.570;-77.236;-80.348;13.60;-0.044;0.240;0.000;3.424;-42.502;-82.713;44.4
14.580;-77.100;-80.357;13.59;-0.044;0.240;0.000;3.411;-42.561;-82.643;44.5
14.590;-76.964;-80.365;13.58;-0.022;0.250;0.000;3.399;-42.616;-82.577;44.6
14.600;-76.829;-80.374;13.58;-0.022;0.250;0.000;3.387;-42.669;-82.514;44.7
14.610;-76.694;-80.382;13.57;-0.022;0.250;0.000;3.382;-42.689;-82.477;44.8
14.620;-76.558;-80.390;13.56;-0.022;0.250;0.000;3.368;-42.750;-82.415;44.9
14.630;-76.423;-80.398;13.55;-0.022;0.250;0.000;3.355;-42.805;-82.353;45.0
14.640;-76.288;-80.405;13.55;-0.022;0.250;0.000;3.342;-42.855;-82.281;45.1
14.650;-76.152;-80.413;13.54;-0.022;0.250;0.000;3.328;-42.919;-82.220;45.1
14.660;-76.017;-80.420;13.53;-0.022;0.250;0.000;3.313;-42.980;-82.150;45.2
14.670;-75.882;-80.427;13.52;-0.022;0.250;0.000;3.300;-43.036;-82.092;45.3
14.680;-75.747;-80.433;13.52;-0.022;0.250;0.000;3.286;-43.095;-82.034;45.3
14.690;-75.612;-80.440;13.51;-0.022;0.270;0.000;3.279;-43.122;-82.001;45.4
14.700;-75.477;-80.446;13.50;-0.022;0.270;0.000;3.264;-43.187;-81.945;45.4
14.710;-75.342;-80.452;13.50;-0.022;0.270;0.000;3.249;-43.247;-81.890;45.4
14.720;-75.207;-80.458;13.49;-0.022;0.270;0.000;3.235;-43.307;-81.836;45.5
14.730;-75.073;-80.463;13.48;-0.022;0.270;0.000;3.220;-43.363;-81.773;45.6
14.740;-74.938;-80.469;13.48;-0.022;0.270;0.000;3.205;-43.423;-81.721;45.6
14.750;-74.803;-80.474;13.47;-0.022;0.270;0.000;3.189;-43.489;-81.670;45.6
14.760;-74.669;-80.479;13.47;-0.022;0.270;0.000;3.173;-43.552;-81.610;45.7
14.770;-74.534;-80.483;13.46;-0.022;0.270;0.000;3.158;-43.613;-81.560;45.7
14.780;-74.400;-80.488;13.45;-0.022;0.270;0.000;3.141;-43.679;-81.512;45.8
14.790;-74.265;-80.492;13.45;0.000;0.280;0.000;3.134;-43.704;-81.484;45.8
14.800;-74.131;-80.496;13.44;0.000;0.280;0.000;3.117;-43.773;-81.442;45.8
14.810;-73.997;-80.500;13.44;0.000;0.280;0.000;3.101;-43.834;-81.401;45.8
14.820;-73.862;-80.504;13.43;0.000;0.280;0.000;3.085;-43.887;-81.355;45.9
