ParticipantID: P001
Time;PosX;PosZ;Speed;Steer;Throttle;BrakeF;TTC;PredCrashX;PredCrashZ;CrashAngle
21.988;-107.992;-79.529;21.81;0.000;0.000;0.000;3.605;-42.481;-78.943;33.5
21.998;-107.774;-79.527;21.79;0.000;0.000;0.000;3.604;-42.423;-78.943;33.7
22.008;-107.557;-79.525;21.76;0.000;0.000;0.000;3.603;-42.380;-78.943;33.8
22.018;-107.339;-79.523;21.73;0.000;0.000;0.000;3.601;-42.344;-78.943;33.9
22.028;-107.122;-79.521;21.71;0.000;0.000;0.000;3.600;-42.309;-78.942;34.0
22.038;-106.905;-79.520;21.68;0.000;0.000;0.000;3.599;-42.274;-78.942;34.1
22.048;-106.688;-79.518;21.65;0.000;0.000;0.000;3.598;-42.239;-78.942;34.2
22.058;-106.472;-79.516;21.62;0.000;0.000;0.000;3.597;-42.204;-78.942;34.3
22.068;-106.256;-79.514;21.60;0.000;0.000;0.000;3.597;-42.183;-78.941;34.4
22.078;-106.040;-79.512;21.57;0.000;0.000;0.000;3.595;-42.149;-78.941;34.5
22.088;-105.825;-79.510;21.54;0.000;0.000;0.000;3.594;-42.116;-78.941;34.6
22.098;-105.610;-79.508;21.51;0.000;0.000;0.000;3.593;-42.082;-78.941;34.7
22.108;-105.395;-79.506;21.49;0.000;0.000;0.000;3.592;-42.041;-78.940;34.8
22.118;-105.180;-79.504;21.46;0.000;0.000;0.000;3.591;-42.008;-78.940;34.9
22.128;-104.966;-79.502;21.43;0.000;0.000;0.000;3.590;-41.975;-78.940;35.0
22.138;-104.751;-79.500;21.40;0.000;0.000;0.000;3.588;-41.943;-78.940;35.1
22.148;-104.538;-79.498;21.37;0.000;0.000;0.000;3.587;-41.912;-78.939;35.2
22.158;-104.324;-79.496;21.35;0.000;0.000;0.000;3.586;-41.879;-78.939;35.4
22.168;-104.111;-79.495;21.32;0.000;0.000;0.000;3.584;-41.848;-78.939;35.5
22.178;-103.898;-79.493;21.29;0.000;0.000;0.000;3.583;-41.809;-78.939;35.6
22.188;-103.685;-79.491;21.26;0.000;0.000;0.000;3.582;-41.778;-78.938;35.7
22.198;-103.472;-79.489;21.24;0.000;0.000;0.000;3.580;-41.747;-78.938;35.8
22.208;-103.260;-79.487;21.21;0.000;0.000;0.000;3.579;-41.718;-78.938;35.9
22.218;-103.048;-79.485;21.18;0.000;0.000;0.000;3.578;-41.687;-78.938;36.0
22.228;-102.837;-79.483;21.16;0.000;0.000;0.000;3.576;-41.657;-78.937;36.1
22.238;-102.625;-79.481;21.13;0.000;0.000;0.000;3.575;-41.628;-78.937;36.2
22.248;-102.414;-79.479;21.10;0.000;0.000;0.000;3.573;-41.599;-78.937;36.3
22.258;-102.203;-79.478;21.08;0.000;0.000;0.000;3.572;-41.570;-78.937;36.4
22.268;-101.993;-79.476;21.05;0.000;0.000;0.000;3.570;-41.542;-78.937;36.5
22.278;-101.782;-79.474;21.02;0.000;0.000;0.000;3.569;-41.525;-78.936;36.6
22.288;-101.572;-79.472;20.99;0.000;0.000;0.000;3.568;-41.497;-78.936;36.7
22.298;-101.363;-79.470;20.97;0.000;0.000;0.000;3.566;-41.462;-78.936;36.8
22.308;-101.153;-79.468;20.94;0.000;0.000;0.000;3.564;-41.435;-78.936;36.9
22.318;-100.944;-79.466;20.91;0.000;0.000;0.000;3.562;-41.409;-78.935;37.0
22.328;-100.735;-79.464;20.89;0.000;0.000;0.000;3.561;-41.383;-78.935;37.1
22.338;-100.526;-79.463;20.86;0.000;0.000;0.000;3.559;-41.357;-78.935;37.2
22.348;-100.318;-79.461;20.83;0.000;0.000;0.000;3.557;-41.331;-78.935;37.3
22.358;-100.110;-79.459;20.81;0.000;0.000;0.000;3.556;-41.305;-78.935;37.4
22.368;-99.902;-79.457;20.78;0.000;0.000;0.000;3.554;-41.273;-78.934;37.5
22.378;-99.694;-79.455;20.76;0.000;0.000;0.000;3.552;-41.249;-78.934;37.6
22.388;-99.487;-79.453;20.73;0.000;0.000;0.000;3.550;-41.226;-78.934;37.7
22.398;-99.280;-79.451;20.70;0.000;0.000;0.000;3.549;-41.210;-78.934;37.7
22.408;-99.073;-79.450;20.67;0.000;0.000;0.000;3.547;-41.187;-78.934;37.8
22.418;-98.866;-79.448;20.65;0.000;0.000;0.000;3.545;-41.163;-78.934;37.9
22.428;-98.660;-79.446;20.62;0.000;0.000;0.000;3.543;-41.141;-78.933;38.0
22.438;-98.454;-79.444;20.59;0.000;0.000;0.000;3.541;-41.110;-78.933;38.2
22.448;-98.248;-79.442;20.57;0.000;0.000;0.000;3.539;-41.087;-78.933;38.3
22.458;-98.043;-79.440;20.54;0.000;0.000;0.000;3.537;-41.065;-78.933;38.4
22.468;-97.837;-79.439;20.51;0.000;0.000;0.000;3.535;-41.044;-78.933;38.5
22.478;-97.632;-79.437;20.49;0.000;0.000;0.000;3.532;-41.025;-78.932;38.5
22.488;-97.428;-79.435;20.46;0.000;0.000;0.000;3.530;-41.005;-78.932;38.6
