ParticipantID: P001
Time;PosX;PosZ;Speed;Steer;Throttle;BrakeF;TTC;PredCrashX;PredCrashZ;CrashAngle
6.752;95.109;-379.770;16.33;0.022;0.740;0.000;Infinity;0.000;0.000;0.0
6.762;95.272;-379.762;16.35;0.022;0.740;0.000;Infinity;0.000;0.000;0.0
6.772;95.436;-379.755;16.36;0.022;0.740;0.000;Infinity;0.000;0.000;0.0
6.782;95.599;-379.747;16.37;0.022;0.740;0.000;Infinity;0.000;0.000;0.0
6.792;95.763;-379.739;16.38;0.022;0.740;0.000;Infinity;0.000;0.000;0.0
6.802;95.927;-379.732;16.40;0.022;0.740;0.000;Infinity;0.000;0.000;0.0
6.812;96.090;-379.724;16.41;0.022;0.740;0.000;Infinity;0.000;0.000;0.0
6.822;96.254;-379.717;16.42;0.022;0.740;0.000;Infinity;0.000;0.000;0.0
6.832;96.419;-379.709;16.44;0.022;0.700;0.000;Infinity;0.000;0.000;0.0
6.842;96.583;-379.702;16.44;0.022;0.700;0.000;Infinity;0.000;0.000;0.0
6.852;96.747;-379.695;16.45;0.022;0.700;0.000;Infinity;0.000;0.000;0.0
6.862;96.912;-379.687;16.46;0.022;0.700;0.000;Infinity;0.000;0.000;0.0
6.872;97.076;-379.680;16.47;0.022;0.700;0.000;Infinity;0.000;0.000;0.0
6.882;97.241;-379.673;16.48;0.022;0.700;0.000;Infinity;0.000;0.000;0.0
6.892;97.405;-379.666;16.49;0.022;0.700;0.000;Infinity;0.000;0.000;0.0
6.902;97.570;-379.659;16.50;0.022;0.700;0.000;Infinity;0.000;0.000;0.0
6.912;97.735;-379.652;16.51;0.022;0.700;0.000;Infinity;0.000;0.000;0.0
6.922;97.900;-379.645;16.52;0.022;0.670;0.000;Infinity;0.000;0.000;0.0
6.932;98.065;-379.639;16.53;0.022;0.670;0.000;Infinity;0.000;0.000;0.0
6.942;98.231;-379.632;16.54;0.022;0.670;0.000;Infinity;0.000;0.000;0.0
6.952;98.396;-379.625;16.55;0.022;0.670;0.000;Infinity;0.000;0.000;0.0
6.962;98.561;-379.619;16.56;0.022;0.670;0.000;Infinity;0.000;0.000;0.0
6.972;98.727;-379.612;16.56;0.022;0.670;0.000;Infinity;0.000;0.000;0.0
6.982;98.892;-379.606;16.57;0.022;0.670;0.000;Infinity;0.000;0.000;0.0
6.992;99.058;-379.600;16.58;0.022;0.670;0.000;Infinity;0.000;0.000;0.0
7.002;99.224;-379.594;16.59;0.022;0.670;0.000;Infinity;0.000;0.000;0.0
7.012;99.390;-379.588;16.60;0.022;0.670;0.000;Infinity;0.000;0.000;0.0
7.022;99.556;-379.582;16.61;0.022;0.670;0.000;Infinity;0.000;0.000;0.0
7.032;99.722;-379.576;16.61;0.022;0.630;0.000;Infinity;0.000;0.000;0.0
7.042;99.888;-379.570;16.62;0.022;0.630;0.000;Infinity;0.000;0.000;0.0
7.052;100.054;-379.565;16.63;0.022;0.630;0.000;Infinity;0.000;0.000;0.0
7.062;100.220;-379.559;16.63;0.022;0.630;0.000;Infinity;0.000;0.000;0.0
