ParticipantID: P001
Time;PosX;PosZ;Speed;Steer;Throttle;BrakeF;TTC;PredCrashX;PredCrashZ;CrashAngle
6.196;5.036;-4.300;9.26;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.206;5.030;-4.208;9.25;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.216;5.024;-4.116;9.23;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.226;5.019;-4.024;9.23;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.236;5.015;-3.931;9.23;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.246;5.011;-3.839;9.24;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.256;5.008;-3.747;9.26;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.266;5.006;-3.654;9.27;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.276;5.005;-3.561;9.28;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.286;5.005;-3.468;9.30;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.296;5.006;-3.375;9.33;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.306;5.007;-3.281;9.40;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.316;5.009;-3.187;9.46;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.326;5.011;-3.092;9.50;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.336;5.013;-2.997;9.53;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.346;5.016;-2.902;9.57;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.356;5.019;-2.806;9.60;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.366;5.022;-2.710;9.63;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.376;5.025;-2.613;9.66;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.386;5.029;-2.516;9.70;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.396;5.033;-2.419;9.73;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.406;5.037;-2.322;9.76;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.416;5.041;-2.224;9.79;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.426;5.045;-2.126;9.82;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.436;5.050;-2.028;9.86;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.446;5.055;-1.929;9.89;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.456;5.059;-1.830;9.92;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.466;5.064;-1.731;9.96;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.476;5.069;-1.631;9.99;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.486;5.074;-1.531;10.02;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.496;5.080;-1.431;10.05;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.506;5.085;-1.331;10.09;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.516;5.090;-1.230;10.12;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.526;5.096;-1.128;10.15;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.536;5.101;-1.027;10.19;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.546;5.107;-0.925;10.22;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.556;5.112;-0.823;10.25;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.566;5.118;-0.720;10.28;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.576;5.123;-0.617;10.32;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.586;5.129;-0.514;10.35;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.596;5.135;-0.410;10.38;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.606;5.141;-0.307;10.37;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.616;5.146;-0.203;10.35;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.626;5.150;-0.100;10.35;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.636;5.154;0.003;10.35;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.646;5.157;0.107;10.37;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.656;5.159;0.211;10.38;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.666;5.160;0.315;10.39;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.676;5.161;0.419;10.40;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.686;5.160;0.523;10.42;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.696;5.159;0.627;10.43;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.706;5.156;0.731;10.47;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.716;5.154;0.836;10.54;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.726;5.150;0.942;10.58;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.736;5.146;1.048;10.62;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.746;5.142;1.154;10.65;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.756;5.137;1.261;10.69;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.766;5.132;1.368;10.72;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.776;5.126;1.475;10.75;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.786;5.120;1.582;10.78;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.796;5.114;1.690;10.81;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.806;5.108;1.798;10.84;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.816;5.101;1.907;10.80;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.826;5.095;2.013;10.62;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.836;5.088;2.119;10.53;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.846;5.081;2.223;10.48;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.856;5.075;2.328;10.46;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.866;5.068;2.432;10.45;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.876;5.060;2.536;10.44;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.886;5.053;2.640;10.43;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.896;5.046;2.744;10.43;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.906;5.038;2.849;10.43;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.916;5.031;2.953;10.43;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.926;5.023;3.056;10.43;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.936;5.015;3.160;10.42;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.946;5.007;3.264;10.42;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.956;4.999;3.368;10.42;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.966;4.991;3.472;10.42;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.976;4.983;3.576;10.42;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.986;4.974;3.680;10.41;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.996;4.966;3.784;10.41;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.006;4.957;3.887;10.41;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.016;4.949;3.991;10.41;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.026;4.940;4.095;10.41;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.036;4.932;4.198;10.40;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.046;4.923;4.302;10.40;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.056;4.914;4.406;10.40;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.066;4.905;4.509;10.40;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.076;4.896;4.613;10.39;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.086;4.887;4.716;10.39;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.096;4.878;4.820;10.39;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.106;4.869;4.923;10.38;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.116;4.860;5.027;10.38;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.126;4.850;5.130;10.38;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.136;4.841;5.233;10.38;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.146;4.832;5.337;10.37;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.156;4.822;5.440;10.37;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.166;4.813;5.543;10.37;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.176;4.804;5.647;10.36;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.186;4.794;5.750;10.36;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.196;4.785;5.851;9.93;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.206;4.776;5.949;9.81;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.216;4.767;6.046;9.73;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.226;4.758;6.142;9.66;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.236;4.749;6.238;9.59;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.246;4.740;6.333;9.53;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.256;4.731;6.428;9.46;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.266;4.722;6.521;9.40;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.276;4.714;6.615;9.33;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.286;4.705;6.707;9.27;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.296;4.696;6.799;9.20;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.306;4.688;6.890;9.14;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.316;4.679;6.981;9.07;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.326;4.670;7.071;9.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.336;4.662;7.160;8.94;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
