# Participant=P001, Scenario=Unknown, Modality=Unknown
Time;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
16.354;-108.140;-80.727;9.55;0.000;0.510;0.000;9.146;-44.015;-70.082;42.1
16.364;-108.046;-80.711;9.56;0.000;0.510;0.000;9.129;-43.980;-70.029;42.2
16.374;-107.952;-80.696;9.57;0.000;0.510;0.000;9.124;-43.969;-70.013;42.3
16.384;-107.857;-80.680;9.58;0.000;0.510;0.000;9.112;-43.946;-69.980;42.3
16.394;-107.763;-80.664;9.59;0.000;0.510;0.000;9.100;-43.923;-69.950;42.4
16.404;-107.668;-80.648;9.60;0.000;0.510;0.000;9.094;-43.912;-69.935;42.4
16.414;-107.574;-80.632;9.61;0.000;0.510;0.000;9.081;-43.889;-69.907;42.5
16.424;-107.479;-80.616;9.62;0.000;0.510;0.000;9.070;-43.871;-69.884;42.5
16.434;-107.384;-80.600;9.63;0.000;0.510;0.000;9.064;-43.860;-69.871;42.6
16.444;-107.289;-80.584;9.65;0.000;0.510;0.000;9.049;-43.834;-69.842;42.6
16.454;-107.194;-80.568;9.65;0.022;0.500;0.000;9.037;-43.816;-69.829;42.7
16.464;-107.098;-80.552;9.66;0.022;0.500;0.000;9.021;-43.791;-69.825;42.7
16.474;-107.003;-80.536;9.68;0.022;0.500;0.000;9.013;-43.779;-69.824;42.7
16.484;-106.908;-80.519;9.68;0.022;0.500;0.000;8.997;-43.754;-69.823;42.7
16.494;-106.812;-80.503;9.69;0.022;0.500;0.000;8.981;-43.730;-69.824;42.7
16.504;-106.716;-80.487;9.71;0.022;0.500;0.000;8.972;-43.718;-69.826;42.7
16.514;-106.621;-80.471;9.71;0.022;0.500;0.000;8.955;-43.694;-69.831;42.7
16.524;-106.525;-80.455;9.72;0.022;0.500;0.000;8.937;-43.670;-69.839;42.7
16.534;-106.429;-80.439;9.74;0.022;0.500;0.000;8.928;-43.658;-69.845;42.7
16.544;-106.333;-80.422;9.74;0.022;0.500;0.000;8.910;-43.635;-69.857;42.7
16.554;-106.237;-80.406;9.76;0.022;0.500;0.000;8.891;-43.611;-69.872;42.7
16.564;-106.140;-80.390;9.77;0.022;0.500;0.000;8.882;-43.599;-69.881;42.7
16.574;-106.044;-80.374;9.78;0.022;0.500;0.000;8.862;-43.575;-69.900;42.7
16.584;-105.947;-80.358;9.78;0.022;0.500;0.000;8.842;-43.552;-69.921;42.7
16.594;-105.851;-80.342;9.80;0.022;0.500;0.000;8.832;-43.540;-69.932;42.7
16.604;-105.754;-80.326;9.81;0.022;0.500;0.000;8.812;-43.516;-69.957;42.7
16.614;-105.657;-80.310;9.82;0.022;0.500;0.000;8.791;-43.493;-69.984;42.6
16.624;-105.560;-80.294;9.82;0.022;0.500;0.000;8.780;-43.481;-69.998;42.6
16.634;-105.463;-80.278;9.84;0.022;0.500;0.000;8.758;-43.459;-70.028;42.6
16.644;-105.366;-80.262;9.85;0.022;0.510;0.000;8.736;-43.437;-70.060;42.6
16.654;-105.269;-80.246;9.86;0.022;0.510;0.000;8.725;-43.426;-70.076;42.6
16.664;-105.172;-80.230;9.87;0.022;0.510;0.000;8.702;-43.403;-70.111;42.6
16.674;-105.074;-80.214;9.88;0.022;0.510;0.000;8.679;-43.381;-70.147;42.6
16.684;-104.977;-80.198;9.89;0.022;0.510;0.000;8.659;-43.365;-70.178;42.5
16.694;-104.879;-80.182;9.90;0.022;0.510;0.000;8.648;-43.354;-70.197;42.5
16.704;-104.781;-80.167;9.91;0.022;0.510;0.000;8.624;-43.332;-70.237;42.5
16.714;-104.683;-80.151;9.92;0.022;0.510;0.000;8.603;-43.317;-70.271;42.5
16.724;-104.585;-80.135;9.93;0.022;0.510;0.000;8.579;-43.297;-70.312;42.5
16.734;-104.487;-80.120;9.94;0.022;0.510;0.000;8.566;-43.287;-70.334;42.5
16.744;-104.389;-80.104;9.95;0.022;0.510;0.000;8.541;-43.268;-70.378;42.5
16.754;-104.291;-80.089;9.96;0.022;0.500;0.000;8.516;-43.249;-70.422;42.4
16.764;-104.192;-80.073;9.97;0.022;0.500;0.000;8.504;-43.241;-70.445;42.4
16.774;-104.094;-80.058;9.98;0.022;0.500;0.000;8.479;-43.222;-70.491;42.4
16.784;-103.995;-80.042;9.99;0.022;0.500;0.000;8.454;-43.204;-70.538;42.4
16.794;-103.896;-80.027;10.00;0.022;0.500;0.000;8.441;-43.195;-70.562;42.4
16.804;-103.798;-80.012;10.01;0.022;0.500;0.000;8.419;-43.183;-70.603;42.4
16.814;-103.699;-79.996;10.02;0.022;0.500;0.000;8.394;-43.164;-70.652;42.3
16.824;-103.599;-79.981;10.03;0.022;0.500;0.000;8.371;-43.154;-70.694;42.3
16.834;-103.500;-79.966;10.04;0.022;0.500;0.000;8.346;-43.137;-70.744;42.3
16.844;-103.401;-79.951;10.05;0.022;0.500;0.000;8.332;-43.130;-70.770;42.3
16.854;-103.302;-79.936;10.06;0.022;0.510;0.000;8.306;-43.115;-70.822;42.3
16.864;-103.202;-79.921;10.06;0.022;0.510;0.000;8.279;-43.101;-70.874;42.2
16.874;-103.103;-79.906;10.07;0.022;0.510;0.000;8.265;-43.094;-70.900;42.2
16.884;-103.003;-79.891;10.08;0.022;0.510;0.000;8.238;-43.080;-70.953;42.2
16.894;-102.903;-79.876;10.10;0.022;0.510;0.000;8.214;-43.072;-70.998;42.2
16.904;-102.803;-79.862;10.11;0.022;0.510;0.000;8.187;-43.060;-71.053;42.1
16.914;-102.703;-79.847;10.12;0.022;0.510;0.000;8.173;-43.053;-71.080;42.1
16.924;-102.603;-79.832;10.13;0.022;0.510;0.000;8.145;-43.041;-71.135;42.1
16.934;-102.503;-79.818;10.14;0.022;0.510;0.000;8.121;-43.036;-71.181;42.1
16.944;-102.402;-79.803;10.14;0.022;0.510;0.000;8.092;-43.026;-71.237;42.0
16.954;-102.302;-79.789;10.15;0.022;0.500;0.000;8.078;-43.021;-71.265;42.0
16.964;-102.201;-79.775;10.17;0.022;0.500;0.000;8.050;-43.010;-71.321;42.0
16.974;-102.100;-79.760;10.17;0.022;0.500;0.000;8.026;-43.007;-71.369;42.0
16.984;-102.000;-79.746;10.19;0.022;0.500;0.000;7.998;-42.996;-71.425;41.9
16.994;-101.899;-79.732;10.19;0.022;0.500;0.000;7.973;-42.994;-71.473;41.9
17.004;-101.798;-79.718;10.20;0.022;0.500;0.000;7.959;-42.989;-71.502;41.9
17.014;-101.697;-79.704;10.21;0.022;0.500;0.000;7.932;-42.980;-71.559;41.9
17.024;-101.595;-79.690;10.22;0.022;0.500;0.000;7.906;-42.979;-71.608;41.8
17.034;-101.494;-79.676;10.23;0.022;0.500;0.000;7.877;-42.974;-71.666;41.8
17.044;-101.393;-79.663;10.24;0.022;0.500;0.000;7.863;-42.972;-71.695;41.8
17.054;-101.291;-79.649;10.25;0.022;0.510;0.000;7.834;-42.967;-71.753;41.7
17.064;-101.189;-79.635;10.26;0.022;0.510;0.000;7.804;-42.963;-71.812;41.7
17.074;-101.088;-79.622;10.27;0.022;0.510;0.000;7.778;-42.966;-71.862;41.7
17.084;-100.986;-79.608;10.28;0.022;0.510;0.000;7.763;-42.964;-71.891;41.7
17.094;-100.884;-79.595;10.29;0.022;0.510;0.000;7.734;-42.961;-71.950;41.6
17.104;-100.782;-79.581;10.30;0.022;0.510;0.000;7.704;-42.959;-72.009;41.6
17.114;-100.680;-79.568;10.31;0.022;0.510;0.000;7.688;-42.959;-72.039;41.6
17.124;-100.577;-79.555;10.32;0.022;0.510;0.000;7.657;-42.961;-72.099;41.5
17.134;-100.475;-79.542;10.33;0.022;0.510;0.000;7.627;-42.962;-72.159;41.5
17.144;-100.372;-79.529;10.34;0.022;0.510;0.000;7.612;-42.963;-72.189;41.4
17.154;-100.270;-79.516;10.35;0.044;0.500;0.000;7.581;-42.964;-72.248;41.4
17.164;-100.167;-79.503;10.35;0.044;0.500;0.000;7.554;-42.966;-72.313;41.4
17.174;-100.064;-79.490;10.36;0.044;0.500;0.000;7.521;-42.967;-72.391;41.3
17.184;-99.961;-79.477;10.37;0.044;0.500;0.000;7.505;-42.967;-72.430;41.2
17.194;-99.858;-79.465;10.38;0.044;0.500;0.000;7.473;-42.969;-72.509;41.1
17.204;-99.755;-79.452;10.39;0.044;0.500;0.000;7.444;-42.975;-72.577;41.0
17.214;-99.652;-79.440;10.40;0.044;0.500;0.000;7.411;-42.977;-72.660;40.9
17.224;-99.549;-79.428;10.41;0.044;0.500;0.000;7.381;-42.985;-72.731;40.8
17.234;-99.445;-79.416;10.42;0.044;0.500;0.000;7.364;-42.988;-72.774;40.8
17.244;-99.342;-79.404;10.43;0.044;0.500;0.000;7.325;-42.991;-72.876;40.6
17.254;-99.238;-79.392;10.44;0.044;0.500;0.000;7.308;-42.994;-72.921;40.6
17.264;-99.134;-79.380;10.45;0.044;0.500;0.000;7.268;-43.000;-73.026;40.4
17.274;-99.030;-79.369;10.45;0.044;0.500;0.000;7.245;-43.004;-73.088;40.4
17.284;-98.927;-79.357;10.46;0.044;0.500;0.000;7.210;-43.011;-73.182;40.2
17.294;-98.822;-79.346;10.47;0.044;0.500;0.000;7.192;-43.016;-73.229;40.2
17.304;-98.718;-79.335;10.48;0.044;0.500;0.000;7.157;-43.023;-73.325;40.1
17.314;-98.614;-79.324;10.49;0.044;0.500;0.000;7.121;-43.033;-73.423;39.9
17.324;-98.510;-79.313;10.50;0.044;0.500;0.000;7.103;-43.039;-73.472;39.9
17.334;-98.405;-79.302;10.50;0.044;0.500;0.000;7.066;-43.055;-73.572;39.7
17.344;-98.301;-79.292;10.51;0.044;0.500;0.000;7.043;-43.058;-73.638;39.6
17.354;-98.196;-79.281;10.52;0.067;0.500;0.000;7.000;-43.072;-73.757;39.5
17.364;-98.091;-79.271;10.53;0.067;0.500;0.000;6.975;-43.080;-73.837;39.4
17.374;-97.986;-79.261;10.54;0.067;0.500;0.000;6.949;-43.091;-73.918;39.3
17.384;-97.882;-79.251;10.54;0.067;0.500;0.000;6.904;-43.103;-74.060;39.1
17.394;-97.776;-79.241;10.55;0.067;0.500;0.000;6.884;-43.112;-74.123;39.0
17.404;-97.671;-79.232;10.56;0.067;0.500;0.000;6.845;-43.128;-74.249;38.8
17.414;-97.566;-79.222;10.57;0.067;0.500;0.000;6.826;-43.135;-74.313;38.7
17.424;-97.461;-79.213;10.58;0.067;0.500;0.000;6.781;-43.148;-74.464;38.5
17.434;-97.355;-79.204;10.58;0.067;0.500;0.000;6.741;-43.168;-74.597;38.3
17.444;-97.250;-79.196;10.59;0.067;0.500;0.000;6.721;-43.178;-74.665;38.2
17.454;-97.144;-79.187;10.60;0.067;0.500;0.000;6.675;-43.195;-74.824;37.9
17.464;-97.038;-79.179;10.61;0.067;0.500;0.000;6.655;-43.205;-74.893;37.8
17.474;-96.933;-79.171;10.61;0.067;0.500;0.000;6.614;-43.225;-75.034;37.6
17.484;-96.827;-79.163;10.63;0.067;0.500;0.000;6.574;-43.246;-75.176;37.4
17.494;-96.721;-79.155;10.63;0.067;0.500;0.000;6.554;-43.255;-75.248;37.3
17.504;-96.615;-79.148;10.64;0.067;0.500;0.000;6.515;-43.274;-75.393;37.1
17.514;-96.508;-79.141;10.65;0.067;0.500;0.000;6.479;-43.299;-75.516;36.9
17.524;-96.402;-79.134;10.66;0.067;0.500;0.000;6.440;-43.317;-75.664;36.7
17.534;-96.296;-79.127;10.66;0.067;0.500;0.000;6.420;-43.329;-75.739;36.6
17.544;-96.189;-79.121;10.67;0.067;0.500;0.000;6.379;-43.353;-75.889;36.4
17.554;-96.083;-79.115;10.68;0.067;0.500;0.000;6.343;-43.384;-76.016;36.2
17.564;-95.976;-79.109;10.69;0.067;0.500;0.000;6.302;-43.411;-76.168;36.0
17.574;-95.869;-79.103;10.69;0.067;0.500;0.000;6.282;-43.424;-76.245;35.9
17.584;-95.762;-79.098;10.70;0.067;0.500;0.000;6.241;-43.451;-76.399;35.6
17.594;-95.655;-79.093;10.71;0.067;0.500;0.000;6.206;-43.482;-76.529;35.4
17.604;-95.548;-79.088;10.71;0.067;0.500;0.000;6.166;-43.509;-76.684;35.2
17.614;-95.441;-79.083;10.72;0.067;0.500;0.000;6.130;-43.543;-76.815;35.0
17.624;-95.334;-79.079;10.73;0.067;0.500;0.000;6.111;-43.555;-76.893;34.9
17.634;-95.227;-79.075;10.74;0.067;0.500;0.000;6.070;-43.589;-77.050;34.7
17.644;-95.120;-79.071;10.74;0.067;0.500;0.000;6.030;-43.624;-77.208;34.5
17.654;-95.012;-79.067;10.75;0.067;0.500;0.000;5.994;-43.662;-77.340;34.3
17.664;-94.905;-79.064;10.76;0.067;0.500;0.000;5.974;-43.677;-77.420;34.2
17.674;-94.797;-79.061;10.76;0.067;0.500;0.000;5.935;-43.712;-77.578;33.9
17.684;-94.689;-79.058;10.77;0.067;0.500;0.000;5.899;-43.750;-77.711;33.7
17.694;-94.582;-79.056;10.78;0.067;0.500;0.000;5.860;-43.786;-77.870;33.5
17.704;-94.474;-79.054;10.78;0.067;0.500;0.000;5.825;-43.825;-78.003;33.3
17.714;-94.366;-79.052;10.79;0.067;0.500;0.000;5.805;-43.846;-78.083;33.2
17.724;-94.258;-79.050;10.80;0.067;0.500;0.000;5.769;-43.892;-78.216;33.0
17.734;-94.150;-79.049;10.80;0.067;0.500;0.000;5.730;-43.930;-78.375;32.8
17.744;-94.042;-79.048;10.82;0.067;0.500;0.000;5.690;-43.976;-78.535;32.5
17.754;-93.934;-79.047;10.82;0.067;0.500;0.000;5.655;-44.024;-78.668;32.3
17.764;-93.826;-79.046;10.83;0.067;0.500;0.000;5.621;-44.066;-78.800;32.1
17.774;-93.717;-79.046;10.83;0.067;0.500;0.000;5.602;-44.087;-78.880;32.0
17.784;-93.609;-79.046;10.84;0.067;0.500;0.000;5.563;-44.133;-79.039;31.8
17.794;-93.501;-79.047;10.85;0.067;0.500;0.000;5.528;-44.184;-79.171;31.5
17.804;-93.392;-79.047;10.85;0.067;0.500;0.000;5.488;-44.235;-79.330;31.3
17.814;-93.283;-79.048;10.86;0.067;0.500;0.000;5.469;-44.260;-79.409;31.2
17.824;-93.175;-79.049;10.87;0.067;0.500;0.000;5.434;-44.314;-79.541;31.0
17.834;-93.066;-79.051;10.87;0.067;0.500;0.000;5.395;-44.365;-79.699;30.7
17.844;-92.957;-79.053;10.88;0.067;0.500;0.000;5.357;-44.420;-79.856;30.5
17.854;-92.849;-79.055;10.89;0.067;0.500;0.000;5.321;-44.480;-79.987;30.2
17.864;-92.740;-79.057;10.89;0.067;0.500;0.000;5.303;-44.505;-80.066;30.1
17.874;-92.631;-79.060;10.90;0.067;0.500;0.000;5.264;-44.565;-80.222;29.9
17.884;-92.522;-79.063;10.91;0.067;0.500;0.000;5.229;-44.625;-80.352;29.6
17.894;-92.413;-79.066;10.92;0.067;0.500;0.000;5.192;-44.681;-80.507;29.4
17.904;-92.304;-79.070;10.92;0.067;0.500;0.000;5.158;-44.742;-80.636;29.1
17.914;-92.194;-79.074;10.93;0.067;0.500;0.000;5.139;-44.770;-80.714;29.0
17.924;-92.085;-79.078;10.93;0.067;0.500;0.000;5.102;-44.829;-80.868;28.8
17.934;-91.976;-79.083;10.94;0.067;0.500;0.000;5.068;-44.895;-80.996;28.5
17.944;-91.867;-79.088;10.94;0.067;0.500;0.000;5.030;-44.959;-81.149;28.3
17.954;-91.757;-79.093;10.96;0.067;0.500;0.000;5.011;-44.995;-81.225;28.1
17.964;-91.648;-79.098;10.96;0.067;0.500;0.000;4.974;-45.060;-81.377;27.9
17.974;-91.538;-79.104;10.96;0.067;0.500;0.000;4.941;-45.125;-81.503;27.6
17.984;-91.429;-79.110;10.97;0.067;0.500;0.000;4.908;-45.190;-81.628;27.4
17.994;-91.319;-79.116;10.98;0.067;0.500;0.000;4.872;-45.256;-81.779;27.1
18.004;-91.210;-79.123;10.98;0.067;0.500;0.000;4.840;-45.323;-81.903;26.9
18.014;-91.100;-79.130;10.99;0.067;0.500;0.000;4.808;-45.390;-82.027;26.6
18.024;-90.990;-79.137;11.00;0.067;0.500;0.000;4.790;-45.423;-82.101;26.5
18.034;-90.880;-79.145;11.00;0.067;0.500;0.000;4.757;-45.496;-82.224;26.2
18.044;-90.771;-79.153;11.01;0.067;0.500;0.000;4.722;-45.565;-82.371;26.0
18.054;-90.661;-79.161;11.01;0.067;0.500;0.000;4.689;-45.639;-82.492;25.7
18.064;-90.551;-79.170;11.02;0.067;0.500;0.000;4.658;-45.708;-82.613;25.4
18.074;-90.441;-79.178;11.03;0.044;0.500;0.000;4.623;-45.779;-82.752;25.2
18.084;-90.331;-79.188;11.04;0.044;0.500;0.000;4.593;-45.848;-82.860;24.9
18.094;-90.221;-79.197;11.04;0.044;0.500;0.000;4.562;-45.922;-82.967;24.7
18.104;-90.111;-79.207;11.05;0.044;0.500;0.000;4.532;-45.994;-83.072;24.5
18.114;-90.001;-79.217;11.06;0.044;0.500;0.000;4.515;-46.029;-83.136;24.4
18.124;-89.891;-79.227;11.06;0.044;0.500;0.000;4.481;-46.106;-83.260;24.2
18.134;-89.781;-79.237;11.07;0.044;0.500;0.000;4.451;-46.181;-83.361;23.9
18.144;-89.670;-79.248;11.07;0.044;0.500;0.000;4.421;-46.256;-83.461;23.7
18.154;-89.560;-79.259;11.08;0.044;0.500;0.000;4.387;-46.332;-83.579;23.5
18.164;-89.450;-79.270;11.09;0.044;0.500;0.000;4.358;-46.407;-83.675;23.3
18.174;-89.339;-79.282;11.10;0.044;0.500;0.000;4.329;-46.479;-83.770;23.1
18.184;-89.229;-79.294;11.10;0.044;0.500;0.000;4.313;-46.516;-83.826;23.0
18.194;-89.119;-79.306;11.11;0.044;0.500;0.000;4.284;-46.590;-83.918;22.8
18.204;-89.008;-79.318;11.12;0.044;0.500;0.000;4.253;-46.664;-84.028;22.5
18.214;-88.898;-79.331;11.12;0.044;0.500;0.000;4.224;-46.743;-84.117;22.3
18.224;-88.787;-79.343;11.13;0.044;0.500;0.000;4.192;-46.819;-84.223;22.1
18.234;-88.677;-79.357;11.14;0.044;0.500;0.000;4.164;-46.895;-84.309;21.9
18.244;-88.566;-79.370;11.14;0.044;0.500;0.000;4.148;-46.934;-84.360;21.8
18.254;-88.455;-79.384;11.15;0.044;0.500;0.000;4.117;-47.014;-84.462;21.5
18.264;-88.345;-79.397;11.16;0.044;0.500;0.000;4.089;-47.087;-84.545;21.3
